Data;Salário mínimo vigente - R$ - Ministério da Economia, Outras (Min. Economia/Outras) - MTE12_SALMIN12;
1940.07;8,72727272727273E-14;
1940.08;8,72727272727273E-14;
1940.09;8,72727272727273E-14;
1940.10;8,72727272727273E-14;
1940.11;8,72727272727273E-14;
1940.12;8,72727272727273E-14;
1941.01;8,72727272727273E-14;
1941.02;8,72727272727273E-14;
1941.03;8,72727272727273E-14;
1941.04;8,72727272727273E-14;
1941.05;8,72727272727273E-14;
1941.06;8,72727272727273E-14;
1941.07;8,72727272727273E-14;
1941.08;8,72727272727273E-14;
1941.09;8,72727272727273E-14;
1941.10;8,72727272727273E-14;
1941.11;8,72727272727273E-14;
1941.12;8,72727272727273E-14;
1942.01;8,72727272727273E-14;
1942.02;8,72727272727273E-14;
1942.03;8,72727272727273E-14;
1942.04;8,72727272727273E-14;
1942.05;8,72727272727273E-14;
1942.06;8,72727272727273E-14;
1942.07;8,72727272727273E-14;
1942.08;8,72727272727273E-14;
1942.09;8,72727272727273E-14;
1942.10;8,72727272727273E-14;
1942.11;8,72727272727273E-14;
1942.12;8,72727272727273E-14;
1943.01;8,72727272727273E-14;
1943.02;8,72727272727273E-14;
1943.03;8,72727272727273E-14;
1943.04;8,72727272727273E-14;
1943.05;8,72727272727273E-14;
1943.06;8,72727272727273E-14;
1943.07;1,09090909090909E-13;
1943.08;1,09090909090909E-13;
1943.09;1,09090909090909E-13;
1943.10;1,09090909090909E-13;
1943.11;1,09090909090909E-13;
1943.12;1,38181818181818E-13;
1944.01;1,38181818181818E-13;
1944.02;1,38181818181818E-13;
1944.03;1,38181818181818E-13;
1944.04;1,38181818181818E-13;
1944.05;1,38181818181818E-13;
1944.06;1,38181818181818E-13;
1944.07;1,38181818181818E-13;
1944.08;1,38181818181818E-13;
1944.09;1,38181818181818E-13;
1944.10;1,38181818181818E-13;
1944.11;1,38181818181818E-13;
1944.12;1,38181818181818E-13;
1945.01;1,38181818181818E-13;
1945.02;1,38181818181818E-13;
1945.03;1,38181818181818E-13;
1945.04;1,38181818181818E-13;
1945.05;1,38181818181818E-13;
1945.06;1,38181818181818E-13;
1945.07;1,38181818181818E-13;
1945.08;1,38181818181818E-13;
1945.09;1,38181818181818E-13;
1945.10;1,38181818181818E-13;
1945.11;1,38181818181818E-13;
1945.12;1,38181818181818E-13;
1946.01;1,38181818181818E-13;
1946.02;1,38181818181818E-13;
1946.03;1,38181818181818E-13;
1946.04;1,38181818181818E-13;
1946.05;1,38181818181818E-13;
1946.06;1,38181818181818E-13;
1946.07;1,38181818181818E-13;
1946.08;1,38181818181818E-13;
1946.09;1,38181818181818E-13;
1946.10;1,38181818181818E-13;
1946.11;1,38181818181818E-13;
1946.12;1,38181818181818E-13;
1947.01;1,38181818181818E-13;
1947.02;1,38181818181818E-13;
1947.03;1,38181818181818E-13;
1947.04;1,38181818181818E-13;
1947.05;1,38181818181818E-13;
1947.06;1,38181818181818E-13;
1947.07;1,38181818181818E-13;
1947.08;1,38181818181818E-13;
1947.09;1,38181818181818E-13;
1947.10;1,38181818181818E-13;
1947.11;1,38181818181818E-13;
1947.12;1,38181818181818E-13;
1948.01;1,38181818181818E-13;
1948.02;1,38181818181818E-13;
1948.03;1,38181818181818E-13;
1948.04;1,38181818181818E-13;
1948.05;1,38181818181818E-13;
1948.06;1,38181818181818E-13;
1948.07;1,38181818181818E-13;
1948.08;1,38181818181818E-13;
1948.09;1,38181818181818E-13;
1948.10;1,38181818181818E-13;
1948.11;1,38181818181818E-13;
1948.12;1,38181818181818E-13;
1949.01;1,38181818181818E-13;
1949.02;1,38181818181818E-13;
1949.03;1,38181818181818E-13;
1949.04;1,38181818181818E-13;
1949.05;1,38181818181818E-13;
1949.06;1,38181818181818E-13;
1949.07;1,38181818181818E-13;
1949.08;1,38181818181818E-13;
1949.09;1,38181818181818E-13;
1949.10;1,38181818181818E-13;
1949.11;1,38181818181818E-13;
1949.12;1,38181818181818E-13;
1950.01;1,38181818181818E-13;
1950.02;1,38181818181818E-13;
1950.03;1,38181818181818E-13;
1950.04;1,38181818181818E-13;
1950.05;1,38181818181818E-13;
1950.06;1,38181818181818E-13;
1950.07;1,38181818181818E-13;
1950.08;1,38181818181818E-13;
